,Unnamed: 0,Title,Article,Headline,Title_URL,Image,Facebook_likes,Facebook_comments,Facebook_shares,Comment_replies,results
18,18,CNN,The Duke of Sussex has joined Silicon Valley startup BetterUp as its chief impact officer,Prince Harry lands new job as a tech executive,https://www.facebook.com/cnn/?__cft__[0]=AZW5DbePSL2GUWfLcDKcQlcqDCD0e1sIKkMmzEoBpl7cP-dGYLU9iJ7Tkj993UqS8LMBbOFGbVlJB7y-lZ5QGpr9v9AfVbWHR6KnXNdg0Esnj3COpxfZB5xgoZswRFpySZ6hccOqKaQ8nbVImIigpdyK&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQFcijv2eD1i8zAc&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210323115408-01-prince-harry-0116-file-restricted-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQEDf6ILiMV0vhQP,,,,182,'FAKE'
20,20,CNN,"A number of firms think the past 12 months have proven the merits of remote work, and have pledged more flexible schedules. But increasingly, there are signs the work-from-home revolution could have its limits.",New reasons to think the work-from-home revolution is overblown,https://www.facebook.com/cnn/?__cft__[0]=AZV5R7pSA3PibogjnnRUzbkXmmML8qHx4tK2qEOQg1GkX24yis68AJ8tN6clTN1a_W_zKsErJ6MekNdpqcWv3uoj1ZmFliF4-DHLvQGsFZiPi6oHhNY8-pCS7d_eJpMpvugz7tlYfylDKic-TKyq7TEd&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQGVqCuA8SreXq_1&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210323114322-uk-office-worker-restricted-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQEfB5AdXR_fFfa4,564.0,291.0,37.0,11,'FAKE'
21,21,CNN,"The center, best known for hosting the annual Comic-Con International convention, will soon be used to house unaccompanied migrant children",San Diego Convention Center to be used to house migrant children,https://www.facebook.com/cnn/?__cft__[0]=AZUogPozn3E3b6Q8gBTV0i9n1PMJIYp_Wrqo5j8XAI3iOiddEwW-Q1LftB2DhX46-m0AhoamAz_YjDCZYC47qviZEPXm6X7VsJEUE3dhEEPuhaP-amQnTM6rhGm2gnF4GvheMcgoH_t1q6nbsnmIc8n5&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQGcDxtpPM-FltN2&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210322160519-san-diego-convention-center-2021-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQFgb_7IzY6nFA68,1100.0,1100.0,105.0,4,'FAKE'
22,22,CNN,California's two Senators are pushing the Biden Administration to set a date after which automakers would no longer be allowed to sell gasoline-powered cars anywhere in the United States,California's senators ask Biden to ban sale of gas-powered cars,https://www.facebook.com/cnn/?__cft__[0]=AZUxD0Pv3Nctcgd_CBYavor0gUwTdXNXIid6VMdLPwazSm6s_HK-YBR3wL3j4roEyopAHC1A424Pc1iTz9G3GSM-ee1ZNB6-9R36Rg-tzOe-F4SYs8hyy5BitZ1p8in6Co8UMgxfL10z1lzgOQagP0Cf&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQEgWs_MtIDIuQnY&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210322222131-gasoline-cars-file-restricted-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQFScAEDpJNd0PfH,3400.0,1100.0,166.0,64,'FAKE'
24,24,CNN,"Twitter CEO Jack Dorsey sold the first-ever published tweet as an NFT, a digital collector's item of sorts. The final bid was $2.9 million.",The first-ever tweet sold as an NFT for $2.9 million,https://www.facebook.com/cnn/?__cft__[0]=AZVqCbqC6LJZ8Owv8eSAfkz8vhI449ENtLZqUyeUYrgmy2kZhiLZazxWbgP6mPjhgKb30lVedY3Ps7XAuy0gJbkj-rvIgt8SzW55Zxk0NZYxjSE7PviCvGiHD2sn9zCkfJ20CpnPcEF7bootpYfjzB-7&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQEoIOzxDpdeCb0N&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F200219161028-twitter-jack-dorsey-1112-file-super-tease.jpg&cfs=1&sx=0&sy=15&sw=1100&sh=574&ext=jpg&ccb=3-4&_nc_hash=AQFZmTUOt_6O-sAH,556.0,424.0,96.0,7,'FAKE'
27,27,CNN,"One resident is dead and two firefighters injured following a fire at a residential assisted-living center in New York City's northern suburbs, a Rockland County fire official says, adding that it's believed ""most are accounted for.""",A resident is dead and firefighters hurt in a fire at a New York senior center,https://www.facebook.com/cnn/?__cft__[0]=AZXk6b9mNpP31llnyCF0pPog4p3FKQfrHjXEkQNFqPlkmjzJbykR2tBMc6g72yhZJdI-_sW0H2rRp-QkVH4CnkqMbH2DmoHI_Icl5QF8yt3TnkWEKzwOWJTDLmVHJh2cgSJXTS7S3xo_1ps0M0_QPadA&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQFMGHsoOR20_zrj&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210323044338-01-spring-valley-senior-center-fire-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQF9BGn3NUMpA9H9,1200.0,152.0,72.0,0,'FAKE'
29,29,CNN,"""I didn't see a shooter, I just saw terrified faces running towards me.""",Witnesses describe chaos as shooter opened fire in a Colorado grocery store,https://www.facebook.com/cnn/?__cft__[0]=AZVacVQynlqYik91Tx_OAUxVjUgtKvl2IsQ1m2r-ztwxesV3K2-IoIf1h2RtgicpuhtYUrpAF3vcRvCSTtSdr_Nzx4AR6DIhcsSw13KZTQONkDNGB_2UHtdNUJ5lM8xTSOBIIStve0zIEGnB0ninDQNl&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQFwnHCpP5ZO6GIJ&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210322201822-10-boulder-reported-shooting-0322-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQHEXwCMh6d1LlRw,1600.0,2400.0,243.0,5,'FAKE'
30,30,CNN,"The dark web is a part of the internet not detected by search engines where cybercriminals often sell and buy illicit materials, from credit card numbers and drugs to cyberweapons and now, apparently, coronavirus-related products.",Covid-19 vaccines and counterfeit vaccine cards are for sale on the dark web,https://www.facebook.com/cnn/?__cft__[0]=AZVYXcl2-Eawob0h3ZwGdrC2CvjmwkPL8KrAshkNSULC6MiRzRgPSAsCxB3JI5zlhJKuU-8EJq6SpVxDLq_xlt-0Z-40QOB2xoOGx2Nypazq0wdWjRH8I4Y3Z7FoABvTlm-I5s4GBifvAsZQ6lZaFUbC&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQEl7qlo5d4_8B-N&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210322172918-covid-vaccines-dark-web-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQES74pxK1LR2iJp,1600.0,665.0,340.0,7,'FAKE'
32,32,CNN,Not enough people are protected against the virus yet -- only about 13.5% of the US population is fully vaccinated -- and a dangerous variant that's rapidly spreading could fuel another surge of infections.,"Uncontrolled Covid-19 spread increases chances of a more dangerous variant emerging, ex-CDC chief says",https://www.facebook.com/cnn/?__cft__[0]=AZXgELcxkAkFv90QDCviLDv3THQsoDjJiipGf3qn-x3YR7XMJc8wUmVZyPQwfxgxW2vd7zNTba8bfHobaMdIy5hTnf3Rt6pXM3as-3rTH_6vvk4zyZj-Vv5bx-oiY7CJRUSwAVcX1Ilw27LP8S8fcy3l&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQGnwUohjPqfbga3&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210323020207-us-coronavirus-0318-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQG5WcsO10VxPEYq,1000.0,595.0,109.0,7,'FAKE'
36,36,CNN,Australian authorities issued fresh flood warnings and evacuation orders on Tuesday as torrential rains again pummeled several parts of the country.,40% of Australia's population under severe weather warnings covering area the size of Alaska,https://www.facebook.com/cnn/?__cft__[0]=AZWB7q_9ICOmjR0RH6pqfGR5OxNn5wKqJjJALFahE5IWtvh-Hk9xPQCx5DtOi1SFgVqM_b4qfrfUGxkFzX9pgCgzgi6lH0VEEZNFxtU41C1O9igpjKGqbetzBUN8U5EsHjTAaGLscnJZ3Vh7qQL6psYg&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQGwNeXjg5ahdFhx&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210323005626-01-australia-flooding-0323-restricted-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQGXdnEJS45e7_sK,1600.0,277.0,134.0,2,'FAKE'
38,38,CNN,Businesses in Texas have now become a battleground of sorts for wearing masks,It's been 2 weeks since Texas lifted its mask mandate. Here's how business owners are handling it,https://www.facebook.com/cnn/?__cft__[0]=AZVbQ-1rEfvZ7WaEPRdMgrQOTg-i_JuEmE8zV6nr-z0r9WyBnFWFMwJuLHMrgHzEaJtSwOZDzGYMePVieLcDSlNY9QkKZaKibRDFABXyhNLid84a31k3LRUCLiXM4XKqpA07-_lSsuUGFeD7H42Hbk0w&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQGSIiY7tcMYfuoT&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210322183003-04-texas-mask-mandate-business-owners-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQEeLk_1k-lUcu00,8300.0,1400.0,422.0,33,'FAKE'
39,39,CNN,Lego is launching a new set to mark the 40th anniversary of the first space shuttle flight that started a new era in space exploration,Lego marks first space shuttle flight with new set featuring Discovery and Hubble Space Telescope,https://www.facebook.com/cnn/?__cft__[0]=AZWxupGomqFyEj8YCFro_naO0R1tGHMsduKWyWye4Ujrh_fDOJiDad6YNH1qmMPvXeyaIo6BjtobtiXG-dt0akI5LCVlAaKyGS7bAhHNQDdqipvx8Dox4YmLZ6NyEF0n-fcj-34kr1QDEJzLTjBZ98mc&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQGokNHf1rD0B4Wc&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210322180053-03-lego-discovery-shuttle-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQE5H2SFqrRMC0ok,2600.0,209.0,326.0,12,'FAKE'
40,40,CNN,The Chicago suburb of Evanston could become the first US city to offer reparations to Black residents whose families have felt the impact of decades of discriminatory housing practices,City's upcoming vote underscores why the debate over reparations for slavery is no longer a fringe issue,https://www.facebook.com/cnn/?__cft__[0]=AZVxHjyO0KOn-yQ1w5WDpaX9w_r096ZTf6dB9XBfixAM650oLRcH_ieBLmzkjXUoq8RuYJQvq0JpFgG3rMi4xBFLwYYeBFmF-hZGpsGuAslImtiKiTbewxZtefFkKPWRRAsmkjDK2Axo2bmHvBlYR0O6&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQELLaBD6vUv138A&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210322121120-01-evanston-il-reparations-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQG8a6Jwg77Y8Gxf,943.0,469.0,59.0,38,'FAKE'
41,41,CNN,"When and how far you can travel — and whether the choice is yours — depends on where you live and, in many cases, on your own risk tolerance",Should I travel? Expert advice on what to consider,https://www.facebook.com/cnn/?__cft__[0]=AZXNG_hpnB0FqV4-vdoOTnGXmDYltOHJDUThmPaJbw8k0o7XxP2g4oracLN7C86K9qqnU9_PaTVOCk6sqlbvdfZ7D6JKhQpGl0GsKWz03iihFN3Rgn7gk9vJya29sy2OtMWSVPWt5Wpy0NVzO6Z80R9N&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQFlCUQKbq29UsEs&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210318215640-02-florida-spring-break-2021-miami-beach-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQE7Phow8WizKZCO,1100.0,396.0,111.0,22,'FAKE'
42,42,CNN,"At least three incidents Sunday involving physical assaults against Asian Americans are being investigated as possible hate or bias crimes, according to the New York Police Department",NYPD investigating attacks on Asian Americans as potential hate or bias crimes,https://www.facebook.com/cnn/?__cft__[0]=AZWdP78VAbd0XFH2p_-d17T1hWVAFYOvWRJcE77oXuMw8HfSMGyBUyw7sC1W1ZJGG0ZT-gl6Et81a6ycP4bY2ONAEACE8BtaN62z0xa8p4VVNtWZJL6Ou8Rw2dkypF-HqcQJ3MUMvt1fvpo2SMC-7XL6&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQHGjHh-FKY7xKdt&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210322203912-01-nypd-investigating-anti-asian-crimes-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQHg8ZXL08pmCAUS,830.0,481.0,53.0,20,'FAKE'
43,43,CNN,"The near-Earth asteroid will zip by from a safe distance on Sunday, according to NASA",Largest asteroid to pass by Earth this year will be moving unusually fast,https://www.facebook.com/cnn/?__cft__[0]=AZV976CRBdiL4cO-etOE_ucGJpcDZ6vuuW_aladygkl6nltVBl3L1FcUl_HtIiELEucDIDBXTvo7XPi8Ebps22ZwQNrOF_yTe35VKG4rpIsaOKMl_-7uANMhgt-eugRvGbTFb3yeP-LZEoxRpPuLwE4Z&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQHRPJIDesfTCDz_&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210316165151-01-asteroid-2001-fo32-super-tease.jpeg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQGsnpzbA_cI-QyM,1600.0,229.0,180.0,3,'FAKE'
44,44,CNN,"You can vote on the new set of cards that revolve around topics like shopping at local stores, rescuing an animal, volunteering and donating blood",Hasbro wants your help in updating Monopoly's Community Chest cards,https://www.facebook.com/cnn/?__cft__[0]=AZW4AxkSx2ms78ed9hd5NfFEluJHODrolGnB1Nyb98H8OLwi5vgxQ9giKlDn9AkWxJnrWHo7fkDI_XT6R-lFRCDUzK2B2ENuE1bPpDY3h0sdGG_PVsS1Q3K9tyi-DI6oZsJWulE5_dtGaEFFfFUtybZt&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQHgHH1W0DubKyl4&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210322164959-monopoly-board-community-chest-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQHlcbmAMwF4P2Ef,624.0,425.0,82.0,1,'FAKE'
45,45,CNN,"Los Angeles has officially become a no-kill shelter city, making it the largest city in the country to do so, according to Best Friends Animal Society","Los Angeles becomes the largest US city with a 'no-kill' animal shelter, group says",https://www.facebook.com/cnn/?__cft__[0]=AZXl-_bbQV1lWW7NHTemnvWYX0IVlrB_KdZUihj4jvrxhE5KzRFB1rEa0FAGI-sE-LPHW1uih8Nm_jPvauabOPgnOWZVEh24eGN6I1MyR5NnSO-X8oUhP3_putjzSaQsfAa9Ntbbu2zFuXo47dUpI9DW&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQEJDUn_ANqjJ1XB&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210320161601-restricted-file-best-friends-animal-society-shelter-california-2017-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQGMQOV8PH0O4ifi,12000.0,587.0,676.0,28,'FAKE'
46,46,CNN,"The statewide curriculum is the first of its kind in the country, state authorities say, and focuses on four ethnic groups: African Americans, Asian Americans and Pacific Islanders, Latino Americans and Native Americans. The histories and experiences of Jewish Americans and Arab Americans are also included in the curriculum.","After years of debate, California finally adopts ethnic studies model curriculum",https://www.facebook.com/cnn/?__cft__[0]=AZW9lVf3oEJFP-7ApIP8zkv4tWNoMdd12Rb6V3h1EUdHHtheI5le5HnQE_ue7dMS603d8s6XcseuTwfrKqj9LCiIfwKtTOP8ak8i6XGesGTeZf9dXVyZ0B6j953kjEabxA4qKClbcUPJUs7vY8qYQCOM&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQGVnWXtUqeEMCtl&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210322150337-california-ethnic-studies-high-school-file-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQHvcMq8yakYE2za,929.0,416.0,75.0,0,'FAKE'
