,Unnamed: 0,Title,Article,Headline,Title_URL,Image,Facebook_likes,Facebook_comments,Facebook_shares,Comment_replies,results
25,25,CNN,"Stocks were mixed in early trading Tuesday following Monday's market rally. Investors are waiting to hear more from Treasury Secretary Janet Yellen and Federal Reserve chair Jerome Powell when they speak to Congress later this afternoon. According to prepared remarks, both are expected to tout the economic recovery but pledge that more needs to be done. The Dow and S&P 500 were headed slightly lower but the tech-heavy Nasdaq edged up a bit, adding to yesterday's impressive ga… See More",,https://www.facebook.com/cnn/?__cft__[0]=AZWbpv8-Y5B9iWSbwjzNLd8UFE-spvXNzBpcGSpNO8GyIPNwyPymBH53FLTMNeJjey4m__9_EfFP8C4dlE0yGR6zYXw10w3xdfhErkXHR7nLecfA2OxoasFNLkQdcu57u_BH3qzVe7u_WonSlDdpWjMxLQWNL2keaJV7jHjYFc45MQ&__tn__=kC%2CP-R,,119.0,86.0,40.0,3,'REAL'
26,26,CNN,It could have a profound impact on everything from the region's weather to its food supply,'Winter is vanishing' from the deep waters of Lake Michigan,https://www.facebook.com/cnn/?__cft__[0]=AZVfd5eAMQEEP_CmX9QIbboKbBQjyVhBsnjNyi_Pk5MBlu_XRuHkq_6IZQNmxsJHeenvdb_wRflpTIEccAG3YEDss-dUel8AiAkoCrJBtkgeC5yRoB8rE0wKZZ8si7nNoWyFS0n31aAJqgE8ed_D0Kff&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQEFvA3d6_1vyF37&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210319152701-weather-great-lakes-satellite-image-1999-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQEcB1K_zeexFZhV,,,,46,'REAL'
28,28,CNN,"While there's a chance that a vaccine will be available to high school and middle school-age children by this fall, younger children may still be months away from vaccination when the upcoming school year begins.",When will kids and teens be vaccinated against Covid-19?,https://www.facebook.com/cnn/?__cft__[0]=AZWQW_k39rJKUwVy3aFr1s3Q3AxHtOF4mnWMj8hTG1oU77fsOr283SSOXg7A0gxL9OnG0d9shnFw1B5HT2Sk1qeCtzWsbmakjxvRrst6EaSSEj129xMT9V9kLHtOBbq9IHS8HZoZrYG9bcEhcEURmLx5&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQGWJ9SE6wTCA-NI&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210322185510-covid-vaccine-file-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQGLJ1j78dtIVt9y,1900.0,1400.0,263.0,2,'REAL'
31,31,CNN,"""If these images of children and families detained in a government-run tent facility in Donna, Texas, look familiar to you, they should. We've seen this before. Again and again,"" Catherine E. Shoichet writes.",The most surprising thing about the border is that US presidents keep being surprised by it | Analysis,https://www.facebook.com/cnn/?__cft__[0]=AZVtx60585B7ZLTNhvUa1kWVmZba2Me1GmsKWvvaQhPje9AAP7O2wZueVa8WPF919iYrAof-8jW8Dh9QGJegtnEIEt3MiC6ACcBB-mP9UFiY_oSTKK3TN3pn61vCTIdW9W9XHvoY6Sb9_kDisKmwVZud&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQErm2XjPhHH4Hr-&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210322094453-05-border-facility-texas-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQGAX9AqdHjZ8AX5,213.0,690.0,50.0,22,'REAL'
33,33,CNN,"Police are just beginning what they say could be at least five days of investigation, and many questions about the mass shooting and the motivation behind the attack are still unclear.","Here is what we know about the mass shooting in Boulder, Colorado, that left 10 dead",https://www.facebook.com/cnn/?__cft__[0]=AZWBIG047IL9Igl_2k5WR-fwx6ZUdzG934xuYFm_lsF1wz32SiFBeGcQEqEv23GOYKLYGY_m42k9ibKFiMeoRJz7yvEoDuWH8bmc3WKfFowgYqEVOSRkZTrC5Gt6IcLwrKzY32rHqdYE9XlPq93pNU60&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQEArz7Mg1-adpox&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210322185004-05-boulder-reported-shooting-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQH4kgQg6XAmNpnw,3600.0,4100.0,604.0,546,'REAL'
34,34,CNN,"""Donald Trump has set the price of admission for Republicans in the midterm elections, and probably the next presidential race: an embrace of the big lie that he was cheated out of office by a historic voter fraud operation,"" writes CNN's Stephen Collinson.",Analysis: Trump's army takes aim at 2022 touting his election lies,https://www.facebook.com/cnn/?__cft__[0]=AZXGv3FH84-Jzc9OkgvK4iquS4UYzkud60yRhCAbFx-wIWkg6RWMK05ZhJilWk84O3Nci1VCMvF0GIXY7RBla0Gu-BF38ZZ9JDf7m5PWXwMPh4qnbCaw313MTzu5-8k7GgOOrp5dx7tO_JFg6ohFJyG7&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQH7IZDrqFckDdcS&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210322174656-01-trump-media-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQEvG4IVn7inlg1T,3200.0,3200.0,167.0,240,'REAL'
35,35,CNN,The fatal shooting at the King Soopers store comes less than a week after shooting attacks at three spas in the Atlanta area left eight people dead.,10 dead in a mass shooting at a grocery store in Colorado -- and another community's peace is shattered,https://www.facebook.com/cnn/?__cft__[0]=AZU5oDZ7F60AVHv66mTUcQ7zjtB7l7BUf8XC3cL4ztmlY0ygvlCWpBWYHHvvR250NE-YkmDr8bbBUKcMcp017aH1JHYwwy6dgN266TI_6i754-OoDA2CFfVsJTov8yvkVywdj2F6_F0n7DvZ2llaCTWg&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQFR_pKoNS2KkswW&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210323011301-boulder-colorado-shooting-tuesday-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQHObZBf2AUlUQwg,3200.0,3100.0,447.0,216,'REAL'
37,37,CNN,"Officer Eric Talley was the first officer to report to the scene of a mass shooting at a grocery store in Boulder, Colorado, on Monday -- and it's where the father of seven died after actions that were described as ""heroic"" by officials.",The first officer who responded to a mass shooting in Boulder was killed. He leaves behind seven children,https://www.facebook.com/cnn/?__cft__[0]=AZWxTmq3jGnRHU2jIuOTIgOsCzo6WTLSPUvOy8uo2BhKPWZUvqJosplrHD4YcZPGJkafUgdvRttQ8mw_rG0NqQ1nAmGsoGmZX1F0VG0LyiPwKLafENzVhd7XXnkW99m7fDOLKGUz6_RTAMtb-L1xGxlc&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQGxC6C-rnr1B1UQ&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210322232935-officer-eric-talley-headshot-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQHk_l7PsD6bdoZf,46000.0,6600.0,2400.0,82,'REAL'
47,47,CNN,The shooting spree across the Atlanta area last week that left eight people dead at three spas could be the first test of the hate crime law passed by the Georgia Legislature last year,Spa shootings could be first test of Georgia's new hate crime law,https://www.facebook.com/cnn/?__cft__[0]=AZW9EGhZi2NyYeQpNhnca4RRzVBr8ejaFmLVNbDpZMUFBi4zNIfieb4Wz8dyvhxH74TsOlWMXGib5-Vt3x-_L03koyhsJOy6jKLydN8056BJrXxNDbY59jQ3kYXSjpZTcIDxJdSkjnyla-1-AqXqotju&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQG8OgxJ7EDg4ndZ&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210319025352-02-atlanta-shooting-memorial-0318-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQHoTX8zs9WNZu15,685.0,513.0,55.0,16,'REAL'
49,49,CNN,"At least 10 people, including a Boulder police officer, were killed in a shooting at a supermarket in Boulder, Colorado, according to authorities.","10 people killed after gunman opens fire at Boulder, Colorado, grocery store",https://www.facebook.com/cnn/?__cft__[0]=AZWzHVK7x6TTWt-wdJyxNMeK1qtJE__HIFw6rBH8krmtiXZ6173ZGPyVXse2l17UOcFnDh2zXiFZLxEzVgoDMjkeZXS3e84gLM2F1wqbWnTt7iXFUXteM3RgzWIN1fwavpErSObFTy9GpDd3Rs451fxo&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQE_q2mP4qf0j3W6&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210322184400-04-boulder-reported-shooting-super-tease.jpeg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQEYiWnFZp99PnjL,44000.0,11000.0,8300.0,149,'REAL'
54,54,CNN,"The Senate has confirmed Boston Mayor Marty Walsh to be Labor secretary, elevating the former union boss to oversee the federal department in charge of workplace conditions, benefits and rights",Senate confirms Marty Walsh to be Labor secretary,https://www.facebook.com/cnn/?__cft__[0]=AZXsTg2SiYEj5rnXJGldMFHc96pXEyCJ0ahNO40tQtZ7ukD6IcTVM_FPd_G2PNPL4jn-h5XKzJNaplGg71c2pjpFxrJGv7Qqs4XQOJqiTFWI0UA2LV80lO2BnViAMW54dDeZyEQSUDVb-FanaFn4AOwI&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQFmYkerTNPoQ0m5&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210108143955-01-marty-walsh-biden-admin-0108-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQFcvrnQR1wsqyot,1700.0,246.0,75.0,9,'REAL'
56,56,CNN,"The recent attacks shocked a deeply divided nation that has been continuously pushed to talk about the racism and inequity that plague its increasingly diverse demographic. For many, the attacks in Georgia were another example of how White supremacy continues shaping America.",Hate is haunting Asian Americans. Their fear underscores a racial reckoning that is far from over,https://www.facebook.com/cnn/?__cft__[0]=AZUGr2i7zKbNoYFJ0ioF9DZkKwHnVcjxIbnULvoyczrFY0qN2n6o3WCuzmUPmRQai6wcWMH77Z3RYVPyGMp6Vpx1FYwm3X5aG0Mftadi6MWjTZfYhJbvYENX8jUfJoH7RG56ErHGD2MdnSO7Tpo6KHJf&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQEsZhsmLDHFuOi_&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210322100431-02-atlanta-mural-0321-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQGCxAp234jteN48,4100.0,2400.0,221.0,51,'REAL'
58,58,CNN,"Beulah Mae Donald did not give up the fight for justice after the Ku Klux Klan lynched her son. Witness her resilience and how she took them down in the new CNN Original Series, The People v The Klan, premiering Sunday, April 11th at 9 p.m. ET/PT",,https://www.facebook.com/cnn/?__cft__[0]=AZXgCClg10iJy8JtxIBug9_s1w1QMHmROzRdlByKb74e0x_U0A3PE7IlRYror2T3DsWcSubjyUAIaOIS3xmHvRU8YkLMzvZjPz2P0iDoDN8lhhKBayxmq9H4O_yKWASHJp0IAeB8Nnz0jGgdUe74LDNomDJP6DSsk25GSwNqRiVAiQ&__tn__=-UC%2CP-R,,1400.0,1200.0,423.0,0,'REAL'
61,61,CNN,"Miami Beach was forced to extend a curfew and state of emergency, possibly for several weeks, after city police struggled to control shoulder-to-shoulder crowds of spring breakers last weekend, Mayor Dan Gelber said Monday.",Miami Beach extends curfew to deal with unruly spring breakers,https://www.facebook.com/cnn/?__cft__[0]=AZUAdBQkgQecNB_8SfdRM7mYE1ez7N53XVziw3h3wtG9U0xflYeAJS1gK9q76jG_2YKlLh7WiK2HYc_VAILjY_9QOF-Czk7SS3hOn9t5mb16AAbCcQM6HbxnzFZ5lQP_knM6mRMz9CH7VfQ1ppAuw7bi&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210320151949-miami-beach-clevelander-south-beach-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQHhTGqHGd552-5F,3300.0,1100.0,179.0,91,'REAL'
62,62,CNN,Senior Biden administration officials are traveling to Mexico on Monday to discuss managing migration with government officials amid a surge of unaccompanied minors crossing the US-Mexico border.,Biden officials traveling to Mexico amid surge of unaccompanied minors,https://www.facebook.com/cnn/?__cft__[0]=AZUPv5FwBGFjn9THguo5cjXJpsCaZRYRzyfymIefLzQyrUH4r9slzCkDHxziKU_ArzO5H8wOm1r1l_-9h0duarl29h4hYdZ62OEu7uD6x6aS6xG6PmO7NcEDbejPobBMUP9VR40kkBRn1CrphCSOlsSc&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQGrNQQ_nDEhDWpX&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210320104952-biden-border-transparency-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQGRVf9diRufgVoC,1200.0,1200.0,81.0,0,'REAL'
63,63,CNN,"""The recent changes are nothing more than putting a little makeup and cologne on Jim Crow,"" says Cliff Albright, the co-founder of the Black Voters Matter Fund.",Georgia GOP lawmakers drive toward new voting restrictions,https://www.facebook.com/cnn/?__cft__[0]=AZU3CLI7OPis0WkslNQIhwzpnF2Lokx-GLkZOnJoR6IvbTvC0xGbBIw1XOttxR0X_6cmIYwAlE2NDNdjKn85Rp3G_aYYeQP9trXDxpFndlpc4GFzYt9ALjPgyMe09TRObBkU7JyJtL9UGYrkM0dKGfMI&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQFJcynkI6ApBA86&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210322110521-georgia-state-capitol-0318-restricted-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQENitL4zLY8xbrz,782.0,733.0,72.0,13,'REAL'
65,65,CNN,"Media outlets are ramping up their coverage of anti-Asian violence following last week's Atlanta shootings, but many Asian-American journalists feel the issue has been ignored for far too long.",Connie Chung: The media is miserably late covering anti-Asian violence,https://www.facebook.com/cnn/?__cft__[0]=AZXGzPzeRSD6gLCtJvzfmxLP3E9OSQ5BV-w95P1Y-JYV6_4kGMTp05_zO5Hohu6Fv_OigB2-Qembo75RR02mOWnOpYYLAyDBtIy0qMuFxZcemSbd3GxWjc1YBKBLOwTRqHMhCoI_VKFdPku-TQVrcJGh&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQHN5u52Vc52uT0v&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210321164133-restricted-stop-asian-hate-rally-ohio-0320-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQGthEyL9E3n0lsO,1400.0,1000.0,112.0,1,'REAL'
69,69,CNN,"""Anybody making more than $400,000 a year will see a small to significant tax increase,"" President Joe Biden said","Biden reiterates pledge to raise taxes on Americans making $400,000 or more",https://www.facebook.com/cnn/?__cft__[0]=AZXJ1nKtuPB0nxNLzJWyz2lDTaqVnbRUrVnlnTRIeb6C-cTg0Nm_8hjXkoUJ_z84M_NcpjpUO7WrIOLq-y8ytV3NGHDik3Wts62kjkSR3HsCoomWmk5WUbD9V9CHvPJArfvjoV9yv0p-76N46ZsflLhW&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQEq7sK1cp7xvaX3&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210315141013-01-biden-remarks-0315-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQHfA8ApqHxhg3-f,18000.0,3700.0,549.0,93,'REAL'
70,70,CNN,"""The controversy over the border is building on its own momentum and threatens to erode the already thin political space in which bipartisan immigration reform might take place in the Senate,"" Stephen Collinson writes.",Biden vows to ease border surge as Republicans sense a political opening | Analysis,https://www.facebook.com/cnn/?__cft__[0]=AZWLZSfRwgJDYT1wOvMkTSxsFsNBEMPWcd65haNel-EOcMFMQhdTdFiYoK-6OERmcrkKWiOBlg50jPMN_mNmf4U5_q8cyv7YAFZ5ps3qLQcp4x298J8cE_lEdUveCpB2exUjOpxjd3-QtLzC9kp_yaQb&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQGQjX9nWu_Y0Tge&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210321182725-01-joe-biden-0321-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQHTB-cY45wjHYLJ,736.0,813.0,58.0,58,'REAL'
72,72,CNN,The former President endorses a candidate for secretary of state in Georgia after attacking the incumbent for overseeing his loss in the state last year,Trump endorses GOP primary rival to Georgia Republican secretary of state,https://www.facebook.com/cnn/?__cft__[0]=AZU29elAxsfj9WC4sOeRGRl9j66pWo4GhLT78e5HREVVyBhUGRiIXJD0RiWUuSjSZhxTEsQWij8i_5SfxQOateaspkaLz-bXobA9OCFZr-eXmzwAlZMF6Eu943Bju6D4Vh2S1dt7lGcg-vuXeZ6ADZQ5&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQFZ7-RepvZnSmUN&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210322101010-hice-trump-raffensperger-split-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQGkBixtJAWolqfh,12000.0,4700.0,249.0,112,'REAL'
